#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
0;05/11/2024 17:47:30;IRP_MJ_WRITE;DOWN;;e0 05 00 01 62 00 68 ;"?..b.h";7;7;COM1;;
1;05/11/2024 17:47:30;IRP_MJ_WRITE;UP;STATUS_SUCCESS;e0 05 00 01 62 00 68 ;"?..b.h";7;;COM1;;
2;05/11/2024 17:47:30;IRP_MJ_READ;DOWN;;;"";;8;COM1;;
3;05/11/2024 17:47:30;IRP_MJ_READ;UP;STATUS_SUCCESS;e0 06 00 01 62 03 00 6c ;"?..b..l";8;;COM1;;
4;05/11/2024 17:47:30;IRP_MJ_WRITE;DOWN;;e0 05 00 02 30 00 37 ;"?..0.7";7;7;COM1;;
5;05/11/2024 17:47:30;IRP_MJ_WRITE;UP;STATUS_SUCCESS;e0 05 00 02 30 00 37 ;"?..0.7";7;;COM1;;
6;05/11/2024 17:47:30;IRP_MJ_READ;DOWN;;;"";;9;COM1;;
7;05/11/2024 17:47:30;IRP_MJ_READ;UP;STATUS_SUCCESS;e0 07 00 02 30 00 01 94 ce ;"?..0..îŒ";9;;COM1;;
8;05/11/2024 17:47:30;IRP_MJ_WRITE;DOWN;;e0 05 00 03 32 00 3a ;"?..2.:";7;7;COM1;;
9;05/11/2024 17:47:30;IRP_MJ_WRITE;UP;STATUS_SUCCESS;e0 05 00 03 32 00 3a ;"?..2.:";7;;COM1;;
10;05/11/2024 17:47:30;IRP_MJ_READ;DOWN;;;"";;17;COM1;;
11;05/11/2024 17:47:30;IRP_MJ_READ;UP;STATUS_SUCCESS;e0 0f 00 03 32 00 09 38 33 37 2d 31 35 33 39 36 24 ;"?..2..837-15396$";17;;COM1;;
12;05/11/2024 17:47:30;IRP_MJ_WRITE;DOWN;;e0 05 00 04 60 00 69 ;"?..`.i";7;7;COM1;;
13;05/11/2024 17:47:30;IRP_MJ_WRITE;UP;STATUS_SUCCESS;e0 05 00 04 60 00 69 ;"?..`.i";7;;COM1;;
14;05/11/2024 17:47:30;IRP_MJ_READ;DOWN;;;"";;8;COM1;;
15;05/11/2024 17:47:30;IRP_MJ_READ;UP;STATUS_SUCCESS;e0 06 00 04 60 00 00 6a ;"?..`..j";8;;COM1;;
16;05/11/2024 17:47:30;IRP_MJ_WRITE;DOWN;;e0 30 00 05 61 2b 3a 31 30 30 30 30 30 30 30 30 43 39 34 34 43 30 30 30 43 39 34 36 39 30 30 30 43 39 34 36 39 30 30 30 43 39 34 36 39 30 30 45 39 be ;"?..a+:100000000C944C000C9469000C9469000C946900E9?";50;50;COM1;;
17;05/11/2024 17:47:30;IRP_MJ_WRITE;UP;STATUS_SUCCESS;e0 30 00 05 61 2b 3a 31 30 30 30 30 30 30 30 30 43 39 34 34 43 30 30 30 43 39 34 36 39 30 30 30 43 39 34 36 39 30 30 30 43 39 34 36 39 30 30 45 39 be ;"?..a+:100000000C944C000C9469000C9469000C946900E9?";50;;COM1;;
18;05/11/2024 17:47:30;IRP_MJ_READ;DOWN;;;"";;8;COM1;;
19;05/11/2024 17:47:30;IRP_MJ_READ;UP;STATUS_SUCCESS;e0 06 00 05 61 20 00 8c ;"?..a .?";8;;COM1;;
20;05/11/2024 17:47:30;IRP_MJ_WRITE;DOWN;;e0 05 00 06 62 00 6d ;"?..b.m";7;7;COM1;;
21;05/11/2024 17:47:30;IRP_MJ_WRITE;UP;STATUS_SUCCESS;e0 05 00 06 62 00 6d ;"?..b.m";7;;COM1;;
22;05/11/2024 17:47:30;IRP_MJ_READ;DOWN;;;"";;8;COM1;;
23;05/11/2024 17:47:30;IRP_MJ_READ;UP;STATUS_SUCCESS;e0 06 00 06 62 03 00 71 ;"?..b..q";8;;COM1;;
24;05/11/2024 17:47:30;IRP_MJ_WRITE;DOWN;;e0 05 00 07 30 00 3c ;"?..0.<";7;7;COM1;;
25;05/11/2024 17:47:30;IRP_MJ_WRITE;UP;STATUS_SUCCESS;e0 05 00 07 30 00 3c ;"?..0.<";7;;COM1;;
26;05/11/2024 17:47:30;IRP_MJ_READ;DOWN;;;"";;9;COM1;;
27;05/11/2024 17:47:30;IRP_MJ_READ;UP;STATUS_SUCCESS;e0 07 00 07 30 00 01 94 d3 ;"?..0..î”";9;;COM1;;
28;05/11/2024 17:47:30;IRP_MJ_WRITE;DOWN;;e0 05 00 08 32 00 3f ;"?..2.?";7;7;COM1;;
29;05/11/2024 17:47:30;IRP_MJ_WRITE;UP;STATUS_SUCCESS;e0 05 00 08 32 00 3f ;"?..2.?";7;;COM1;;
30;05/11/2024 17:47:30;IRP_MJ_READ;DOWN;;;"";;17;COM1;;
31;05/11/2024 17:47:30;IRP_MJ_READ;UP;STATUS_SUCCESS;e0 0f 00 08 32 00 09 38 33 37 2d 31 35 33 39 36 29 ;"?..2..837-15396)";17;;COM1;;
32;05/11/2024 17:47:30;IRP_MJ_WRITE;DOWN;;e0 05 08 09 f5 00 0b ;"?..?..";7;7;COM1;;
33;05/11/2024 17:47:30;IRP_MJ_WRITE;UP;STATUS_SUCCESS;e0 05 08 09 f5 00 0b ;"?..?..";7;;COM1;;
34;05/11/2024 17:47:30;IRP_MJ_READ;DOWN;;;"";;8;COM1;;
35;05/11/2024 17:47:30;IRP_MJ_READ;UP;STATUS_SUCCESS;e0 06 08 09 f5 00 00 0c ;"?..?...";8;;COM1;;
36;05/11/2024 17:47:30;IRP_MJ_WRITE;DOWN;;e0 05 08 0a f0 00 07 ;"?..?..";7;7;COM1;;
37;05/11/2024 17:47:30;IRP_MJ_WRITE;UP;STATUS_SUCCESS;e0 05 08 0a f0 00 07 ;"?..?..";7;;COM1;;
38;05/11/2024 17:47:30;IRP_MJ_READ;DOWN;;;"";;20;COM1;;
39;05/11/2024 17:47:30;IRP_MJ_READ;UP;STATUS_SUCCESS;e0 12 08 0a f0 00 0c 30 30 30 2d 30 30 30 30 30 ff 11 40 1d ;"?..?..000-00000ˇ.@.";20;;COM1;;
40;05/11/2024 17:47:30;IRP_MJ_WRITE;DOWN;;e0 0b 00 0b 54 06 57 43 43 46 76 32 3b ;"?..T.WCCFv2;";13;13;COM1;;
